"taxonID"|"Name"
162|"marouette de Caroline"
243|"râle de Virginie"
316|"râle noir"
542|"râle jaune"
890|"gélinotte huppée"
931|"lagopède des saules"
1070|"tétras à queue fine"
1280|"colin de Virginie"
1960|"coulicou à bec noir"
1965|"coulicou à bec jaune"
3454|"tourterelle triste"
3460|"tourterelle à ailes blanches"
3665|"tourte voyageuse"
3751|"ibis blanc"
3802|"Fou de bassan"
3850|"Bécasseau à échasses"
3851|"bécasseau de Baird"
3855|"bécasseau d'Alaska"
3862|"bécasseau semipalmé"
3865|"Bécasseau à poitrine cendrée"
3866|"Bécasseau à croupion blanc"
3875|"Chevalier solitaire"
3892|"Grand Chevalier"
3895|"courlis esquimau"
3931|"bécasse des bois"
3936|"bécasse d'Amérique"
3950|"barge hudsonienne"
3954|"barge marbrée"
3962|"maubèche des champs"
4093|"puffin des anglais"
4091|"albatros à nez jaune"
4146|"océanite de Wilson"
4180|"Fulmar boréal"
4224|"Grèbe jougris"
4235|"Grèbe élégant"
4246|"Grèbe à bec bigarré"
4349|"goéland bourgmestre"
4356|"Goéland cendré"
4364|"Goéland à bec cerclé"
4418|"Guillemot à miroir"
4436|"Sterne de Dougall"
4449|"Sterne arctique"
4450|"Sterne pierregarin"
4457|"sterne de Forster"
4481|"Labbe à longue queue"
4489|"Labbe parasite"
4491|"labbe pomarin"
4501|"Petit pingouin"
4504|"macareux moine"
4516|"guillemot de Brünnich"
4519|"guillemot marmette"
4540|"grand pingouin"
4555|"Mouette blanche"
4561|"guillemot à cou blanc"
4571|"mouette de Sabine"
4621|"plongeon du Pacifique"
4622|"plongeon à bec blanc"
4626|"Plongeon huard"
4627|"plongeon catmarin"
4631|"Frégate superbe"
4657|"faucon gerfaut"
4665|"crécerelle d'Amérique"
4798|"pluvier siffleur"
4840|"huîtrier d'Amérique"
4893|"pluvier doré d'Amérique"
4938|"Aigrette tricolore"
4940|"aigrette neigeuse"
4956|"Grand Héron"
4999|"bihoreau violacé"
5009|"petit blongios"
5017|"Héron garde-boeufs"
5020|"Héron vert"
5034|"butor d'Amérique"
5196|"buse de Swainson"
5200|"buse pattue"
5227|"petite buse"
5301|"Milan à queue fourchue"
6571|"martinet ramoneur"
6915|"cygne trompette"
6917|"cygne siffleur"
6924|"canard noir"
6990|"Garrot à oeil d'or"
6993|"petit garrot"
6994|"garrot d'Islande"
7007|"oie à bec court"
7009|"oie des moissons"
7019|"Oie rieuse"
7024|"eider à duvet"
7030|"Eider à tête grise"
7046|"Fuligule morillon"
7047|"Fuligule milouinan"
7054|"petit fuligule"
7056|"fuligule à tête rouge"
7057|"fuligule à dos blanc"
7101|"Bernache nonnette"
7107|"canard branchu"
7111|"arlequin plongeur"
7164|"eider de Steller"
7180|"eider du Labrador"
7192|"Harle piette"
7294|"Alouette hausse-col"
7428|"Jaseur d'Amérique"
7429|"jaseur boréal"
7458|"grimpereau brun"
7493|"gobemoucherons gris-bleu"
7513|"troglodyte de Caroline"
7562|"troglodyte familier"
7601|"troglodyte des marais"
8229|"Geai bleu"
8335|"mésangeai du Canada"
9083|"cardinal rouge"
9092|"bruant de Lincoln"
9096|"bruant des marais"
9100|"Bruant chanteur"
9135|"bruant familier"
9148|"bruant des plaines"
9152|"bruant des champs"
9156|"bruant fauve"
9176|"bruant à couronne blanche"
9182|"bruant à face noire"
9184|"Bruant à gorge blanche"
9325|"oriole des vergers"
9346|"oriole du nord"
9528|"sturnelle des prés"
9535|"sturnelle de l'ouest"
9602|"quiscale bronzé"
9721|"paruline masquée"
9771|"durbec des sapins"
9800|"gros-bec errant"
9807|"paruline à ailes dorées"
73553|"paruline à ailes bleues"
9915|"tangara vermillon"
9921|"tangara écarlate"
10139|"bruant sauterelle"
73148|"paruline hochequeue"
73149|"paruline des ruisseaux"
10168|"bruant vespéral"
10227|"passerin indigo"
10243|"paruline polyglotte"
10247|"paruline flamboyante"
10286|"paruline noir et blanc"
10322|"quiscale rouilleux"
10411|"bec-croisé des sapins"
10423|"Bec-croisé bifascié"
10431|"paruline à gorge grise"
10487|"goglu des prés"
10585|"bruant noir et blanc"
72912|"paruline vermivore"
10729|"paruline orangée"
11858|"hirondelle à front blanc"
11867|"hirondelle noire"
11935|"hirondelle bicolore"
11970|"hirondelle à ailes hérissées"
12716|"Merle noir"
12878|"grive à dos olive"
12883|"grive à joues grises"
12890|"grive solitaire"
12901|"grive fauve"
12936|"Merlebleu azuré"
12942|"merlebleu de l'est"
12951|"solitaire de Townsend"
13270|"Grive des bois"
13732|"pipit d'Amérique"
14886|"moqueur polyglotte"
14898|"moqueur roux"
14995|"Moqueur chat"
16010|"tyran à gorge cendrée"
16028|"tyran huppé"
16100|"pioui de l'est"
16110|"moucherolle à côtés olive"
16602|"moucherolle tchébec"
16603|"moucherolle à ventre jaune"
16611|"moucherolle des saules"
16620|"moucherolle des aulnes"
16638|"moucherolle vert"
16782|"tyran tritri"
16791|"tyran de l'ouest"
16793|"tyran des savanes"
17008|"moucherolle phébi"
17364|"viréo de Philadelphie"
17365|"viréo à gorge jaune"
17402|"viréo à tête bleue"
17408|"viréo aux yeux blancs"
17669|"pic tridactyle"
17694|"pic à dos noir"
17855|"grand pic"
18236|"pic flamboyant"
18463|"Pic maculé"
19765|"petit-duc maculé"
19890|"chouette lapone"
19893|"chouette rayée"
20307|"Hibou moyen-duc"
20356|"petite nyctale"
64968|"crapaud d'Amérique"
23783|"rainette versicolore"
24255|"rainette faux-grillon boréale"
24267|"rainette faux-grillon de l'ouest"
66007|"grenouille du nord"
66012|"grenouille des bois"
66002|"grenouille des marais"
26790|"salamandre maculée"
27390|"salamandre des montagnes"
27420|"salamandre sombre du nord"
27500|"salamandre pourpre"
27652|"salamandre à quatre doigts"
27685|"necture tacheté"
27805|"triton vert"
35437|"Acanthodactyle de Bosc"
40346|"petite chauve-souris brune"
40349|"chauve-souris pygmée"
40509|"grande chauve-souris brune"
40522|"chauve-souris rousse"
40523|"chauve-souris cendrée"
40629|"chauve-souris argentée"
41440|"marsouin commun"
41459|"narval"
41461|"Béluga"
41521|"Épaulard"
41529|"globicéphale noir de l'Atlantique"
41550|"petit rorqual"
41553|"rorqual bleu"
41559|"rorqual boréal"
41562|"rorqual commun"
41570|"baleine noire"
41663|"raton laveur"
41706|"phoque à capuchon"
41708|"phoque commun"
41720|"phoque barbu"
41766|"Morse"
41777|"loutre de rivière"
41798|"martre d'Amérique"
41808|"hermine"
41974|"Lynx du Canada"
41976|"Lynx Roux"
42076|"renard gris"
42223|"cerf de Virginie"
42412|"Boeuf musqué"
43111|"lapin à queue blanche"
43126|"lièvre arctique"
43132|"lièvre d'Amérique"
43840|"souris sauteuse des champs"
43848|"souris sauteuse des bois"
44311|"Campagnol des champs"
44319|"campagnol sylvestre"
44332|"campagnol des rochers"
44395|"souris à pattes blanches"
44396|"Souris sylvestre"
44575|"rat noir"
44705|"Souris grise"
45695|"lemming d'Ungava"
45714|"phénacomys"
45760|"campagnol-lemming boréale"
45761|"campagnol-lemming de Cooper"
46095|"marmotte commune"
46266|"grand polatouche"
46272|"petit polatouche"
46355|"musaraigne palustre"
46407|"musaraigne longicaude"
46430|"musaraigne arctique"
46430|"musaraigne nordique"
46433|"musaraigne fuligineuse"
46438|"musaraigne pygmée"
46407|"musaraigne de Gaspé"
47049|"taupe à queue velue"
6317|"Colibri d'Anna"
51471|"Crocodile de Georgie"
52202|"mouche des brous du noyer"
52205|"mouche de l'airelle"
48701|"Cèpe de Bordeaux"
12878|"Grivette petite"
12878|"Grivette olive"
12883|"Grivette Ã  joue rouges"
68104|"bryozoaires"
55893|"Aigremoine eupatoire"
55918|"Petit coquelicot"
55969|"viorne obier"
50790|"Linaire commune"
52764|"Brunelle commune"
53785|"Fumeterre officinale"
54520|"Grande camomille"
56054|"Alchemille à  lobes aigus"
56057|"Grande marguerite"
56063|"sorbier des oiseleurs"
56099|"Bugle rampante"
56132|"Jacinthe des bois"
53195|"Petite oseille"
56233|"Epipactis des marais"
60016|"English Catchfly"
62618|"Tarpon indo-pacifique"
48607|"Trompette de la Mort"
64099|"Gerres"
64100|"Gerres"
24473|"Alyte accoucheur"
